The.Date.of.this.Price,Expiration.Date.of.the.Option,K,Call,Delta.of.the.Option,diff,bgn_S,end_S,Signal,P_L,Cost
2017/8/7,2017/9/6,250,0.945,0.335599,30,247.87,246.9,Short,-206.8450439,19796.26454
2017/8/8,2017/9/6,245,4.01,0.65657,29,247.26,246.9,Short,-474.7648159,66379.90242
2017/8/9,2017/9/8,247,2.66,0.538105,30,247.25,246.58,Short,-537.5056342,54506.98172
2017/8/10,2017/9/8,244,3.265,0.50673,29,243.76,246.58,Short,2.037923176,45935.2113
2017/8/14,2017/9/13,247,2.27,0.490873,30,246.54,250.17,Long,-0.886433626,40953.86661
2017/8/15,2017/9/13,247,2.145,0.487299,29,246.51,250.17,Long,10.0883064,40887.07907
2017/8/16,2017/9/15,247,2.245,0.518551,30,246.94,249.19,Long,17.09271442,39582.58914
2017/8/17,2017/9/15,243,3.275,0.523339,29,243.09,249.19,Long,-148.9077805,27946.23988
2017/8/18,2017/9/15,243,2.79,0.502426,28,242.71,249.19,Long,-120.6547124,27518.84559
2017/8/21,2017/9/20,243,2.82,0.510364,30,242.9,250.06,Long,-98.0528799,28064.5535
2017/8/22,2017/9/20,245,2.53,0.549204,29,245.44,250.06,Long,-55.03325142,31155.79447
2017/8/23,2017/9/22,245,2.195,0.484272,30,244.56,249.44,Long,-65.74153626,30339.37427
2017/8/24,2017/9/22,244,2.53,0.512799,29,243.99,249.44,Long,-77.91950966,28229.18075
2017/8/25,2017/9/22,245,1.89,0.479819,28,244.56,249.44,Long,-36.8005703,29672.02565
2017/8/28,2017/9/27,245,1.875,0.472666,30,244.57,250.05,Long,-28.79239589,29981.21622
2017/8/29,2017/9/27,245,2.005,0.493312,29,244.85,250.05,Long,-27.51013143,29981.21622
2017/9/22,2017/10/20,249.5,2.135,0.51807,28,249.44,257.11,Short,1221.232802,41798.42535
2017/9/25,2017/10/25,250,1.635,0.4402,30,248.93,255.29,Short,849.8071078,35472.04336
2017/9/26,2017/10/25,250,1.645,0.449708,29,249.08,255.29,Short,842.8066892,36056.1509
2017/9/27,2017/10/27,250,2.33,0.52698,30,250.05,257.71,Short,1215.199153,40273.46858
2017/9/28,2017/10/27,250.5,2.02,0.512089,29,250.35,257.71,Short,1154.848435,40140.34867
2017/10/18,2017/11/17,256,1.99,0.502659,30,255.72,257.86,Short,-23.4381396,59524.69516
2017/10/19,2017/11/17,256,1.985,0.507503,29,255.79,257.86,Short,-26.82869481,59994.92986
2017/10/20,2017/11/17,257,1.97,0.53524,28,257.11,257.86,Short,-286.7321396,71368.26262
2017/10/23,2017/11/22,256,2.49,0.530507,30,256.11,259.76,Short,296.7582948,57801.65544
2017/10/24,2017/11/22,256.5,2.385,0.527067,29,256.56,259.76,Short,198.9815156,60872.06748
2017/10/26,2017/11/24,256,2.42,0.497071,29,255.62,260.36,Short,457.0339355,51492.90396
2017/11/9,2017/12/8,258,2.71,0.532149,29,258.17,265.51,Short,1006.024761,51268.02821
2017/11/10,2017/12/8,258,2.555,0.52725,28,258.09,265.51,Short,1026.293374,51428.51793
2017/11/13,2017/12/13,258,2.92,0.541473,30,258.33,266.75,Short,1210.043079,52261.24078
2017/11/14,2017/12/13,258,2.495,0.504324,29,257.73,266.75,Short,1291.271425,46770.92191
2017/11/15,2017/12/8,256,2.885,0.545049,23,256.44,265.51,Short,1422.82399,43257.46545
